commodity,quantity
1,1
2,2
3,2
4,2
5,6
6,4
7,8
8,9
9,5
10,3
11,10
12,1
13,9
14,5
15,2
16,7
17,5
18,2
19,1
20,4
21,5
22,3
23,5
24,2
25,4
26,7
27,2
28,6
29,6
30,6
31,1
32,10
33,8
34,5
35,5
36,4
37,2
38,10
39,2
40,9
41,6
42,5
43,8
44,8
45,5
46,6
47,7
48,2
49,6
50,8
51,2
52,8
53,5
54,9
55,4
56,5
57,6
58,7
59,7
60,6
61,6
62,10
63,4
64,10
65,8
66,1
67,8
68,6
69,2
70,8
71,4
72,8
73,5
74,6
75,2
76,10
77,10
78,8
79,6
80,9
81,4
82,7
83,2
84,7
85,7
86,4
87,5
88,9
89,10
90,3
91,5
92,1
93,6
94,2
95,6
96,1
97,10
98,6
99,9
100,9
101,8
102,4
103,5
104,6
105,9
106,7
107,6
108,5
109,3
110,6
111,2
112,8
113,4
114,10
115,7
116,4
117,8
118,4
119,2
120,6
121,5
122,8
123,5
124,9
125,1
126,5
127,4
128,7
129,8
130,6
131,8
132,4
133,2
134,10
135,9
136,10
137,10
138,4
139,7
140,5
141,8
142,6
143,8
144,4
145,9
146,7
147,2
148,7
149,4
150,8
151,2
152,4
153,6
154,7
155,2
156,4
157,4
158,7
159,7
160,10
161,9
162,10
163,3
164,4
165,8
166,9
167,2
168,7
169,10
170,6
171,9
172,8
173,7
174,10
175,1
176,4
177,1
178,7
179,6
180,10
181,9
182,2
183,9
184,5
185,7
186,1
187,7
188,2
189,7
190,10
191,6
192,4
193,1
194,8
195,7
196,9
197,4
198,2
199,3
200,4
201,2
202,3
203,2
204,8
205,2
206,1
207,10
208,10
209,4
210,3
211,6
212,8
213,10
214,7
215,10
216,5
217,1
218,8
219,3
220,10
221,4
222,7
223,3
224,7
225,3
226,3
227,1
228,5
229,9
230,2
231,5
232,2
233,2
234,1
235,6
236,2
237,2
238,9
239,10
240,2
241,5
242,8
243,6
244,8
245,3
246,6
247,4
248,1
249,5
250,2
251,4
252,3
253,2
254,2
255,1
256,3
257,7
258,7
259,10
260,1
261,3
262,1
263,10
264,2
265,5
266,1
267,10
268,9
269,10
270,4
271,4
272,5
273,10
274,8
275,5
276,3
277,3
278,10
279,6
280,6
281,7
282,8
283,9
284,10
285,6
286,10
287,9
288,9
289,8
290,9
291,10
292,4
293,10
294,5
295,1
296,10
297,9
298,10
299,5
300,1
301,6
302,1
303,8
304,5
305,10
306,2
307,2
308,10
309,4
310,2
311,9
312,3
313,3
314,1
315,5
316,3
317,9
318,10
319,10
320,3
321,10
322,6
323,1
324,2
325,10
326,10
327,5
328,10
329,7
330,6
331,8
332,4
333,6
334,8
335,6
336,8
337,8
338,9
339,2
340,1
341,6
342,10
343,9
344,7
345,6
346,1
347,7
348,9
349,6
350,7
351,8
352,9
353,3
354,2
355,6
356,4
357,2
358,2
359,5
360,3
361,9
362,10
363,10
364,1
365,6
366,3
367,2
368,3
369,3
370,5
371,3
372,4
373,4
374,3
375,8
376,4
377,5
378,2
379,10
380,3
381,8
382,1
383,2
384,8
385,3
386,3
387,6
388,2
389,1
390,2
391,7
392,7
393,9
394,7
395,2
396,10
397,6
398,8
399,9
400,8
