commodity,quantity
1,6
2,4
3,8
4,1
5,7
6,7
7,8
8,7
9,10
10,3
11,6
12,4
13,5
14,6
15,1
16,5
17,2
18,6
19,10
20,1
21,8
22,7
23,10
24,6
25,4
26,5
27,5
28,5
29,5
30,4
31,6
32,5
33,7
34,7
35,7
36,10
37,6
38,9
39,1
40,3
41,10
42,2
43,6
44,3
45,9
46,2
47,1
48,9
49,8
50,10
51,5
52,6
53,2
54,6
55,2
56,4
57,6
58,10
59,5
60,10
61,6
62,8
63,3
64,7
65,3
66,6
67,6
68,6
69,8
70,8
71,4
72,8
73,8
74,9
75,9
76,8
77,10
78,1
79,4
80,1
81,6
82,1
83,10
84,9
85,8
86,3
87,5
88,10
89,9
90,6
91,4
92,9
93,1
94,3
95,8
96,1
97,6
98,8
99,3
100,9
101,8
102,3
103,9
104,4
105,9
106,1
107,8
108,5
109,5
110,8
111,3
112,6
113,5
114,10
115,7
116,1
117,10
118,7
119,10
120,4
121,9
122,2
123,1
124,8
125,1
126,5
127,2
128,8
129,9
130,2
131,6
132,2
133,6
134,2
135,1
136,5
137,3
138,8
139,2
140,9
141,10
142,1
143,9
144,5
145,10
146,6
147,8
148,5
149,7
150,4
151,7
152,2
153,6
154,3
155,10
156,1
157,9
158,1
159,1
160,3
161,7
162,5
163,3
164,1
165,9
166,8
167,10
168,10
169,9
170,3
171,2
172,5
173,2
174,2
175,9
176,9
177,10
178,6
179,6
180,2
181,6
182,3
183,2
184,2
185,5
186,6
187,5
188,1
189,10
190,2
191,1
192,2
193,10
194,6
195,6
196,1
197,7
198,2
199,6
200,9
201,5
202,8
203,9
204,1
205,8
206,2
207,9
208,9
209,3
210,8
211,7
212,6
213,5
214,5
215,3
216,10
217,6
218,10
219,8
220,2
221,6
222,6
223,2
224,6
225,2
226,3
227,2
228,8
229,4
230,5
231,8
232,5
233,2
234,10
235,1
236,9
237,7
238,2
239,1
240,2
241,3
242,10
243,7
244,9
245,6
246,3
247,3
248,10
249,9
250,8
251,7
252,9
253,7
254,6
255,8
256,4
257,9
258,8
259,10
260,4
261,9
262,6
263,4
264,1
265,7
266,1
267,10
268,10
269,2
270,6
271,3
272,1
273,7
274,10
275,9
276,7
277,4
278,5
279,3
280,7
281,1
282,5
283,8
284,5
285,9
286,4
287,6
288,3
289,10
290,2
291,9
292,1
293,10
294,1
295,8
296,6
297,2
298,7
299,5
300,4
301,4
302,8
303,7
304,8
305,6
306,6
307,4
308,4
309,2
310,9
311,4
312,7
313,3
314,1
315,5
316,7
317,10
318,1
319,10
320,2
321,9
322,1
323,7
324,3
325,5
326,6
327,1
328,10
329,2
330,1
331,3
332,10
333,8
334,4
335,2
336,6
337,8
338,1
339,6
340,3
341,4
342,10
343,9
344,7
345,5
346,2
347,2
348,6
349,5
350,7
351,4
352,4
353,3
354,5
355,7
356,7
357,3
358,4
359,1
360,7
361,1
362,7
363,3
364,6
365,4
366,10
367,4
368,5
369,7
370,8
371,10
372,1
373,6
374,3
375,5
376,10
377,8
378,9
379,9
380,8
381,4
382,4
383,6
384,8
385,8
386,4
387,10
388,3
389,10
390,10
391,4
392,7
393,10
394,9
395,2
396,4
397,1
398,1
399,7
400,8
