commodity,quantity
1,6
2,4
3,3
4,9
5,4
6,3
7,2
8,1
9,9
10,9
11,1
12,9
13,9
14,10
15,2
16,4
17,1
18,4
19,7
20,2
21,7
22,5
23,1
24,2
25,9
26,4
27,5
28,6
29,2
30,4
31,2
32,4
33,6
34,8
35,7
36,7
37,6
38,1
39,7
40,7
41,6
42,10
43,3
44,6
45,3
46,8
47,8
48,4
49,2
50,1
51,3
52,2
53,7
54,8
55,10
56,3
57,2
58,7
59,3
60,2
61,8
62,8
63,8
64,6
65,2
66,10
67,10
68,7
69,10
70,3
71,5
72,10
73,9
74,6
75,4
76,10
77,9
78,1
79,4
80,2
81,3
82,9
83,10
84,10
85,3
86,9
87,1
88,9
89,3
90,8
91,4
92,1
93,5
94,10
95,4
96,7
97,4
98,10
99,9
100,2
101,8
102,5
103,8
104,7
105,1
106,3
107,4
108,4
109,4
110,10
111,1
112,4
113,3
114,1
115,3
116,9
117,5
118,8
119,9
120,4
121,8
122,6
123,9
124,4
125,2
126,3
127,7
128,9
129,8
130,10
131,7
132,6
133,10
134,6
135,1
136,8
137,7
138,8
139,6
140,1
141,6
142,9
143,1
144,5
145,4
146,9
147,4
148,9
149,2
150,9
151,1
152,2
153,4
154,2
155,8
156,3
157,2
158,10
159,6
160,1
161,8
162,3
163,7
164,10
165,6
166,6
167,2
168,9
169,9
170,4
171,2
172,8
173,4
174,9
175,7
176,7
177,10
178,8
179,8
180,5
181,7
182,3
183,10
184,10
185,1
186,2
187,7
188,8
189,8
190,5
191,9
192,1
193,7
194,10
195,3
196,1
197,7
198,7
199,4
200,1
201,2
202,3
203,9
204,3
205,1
206,9
207,1
208,6
209,5
210,6
211,9
212,9
213,8
214,5
215,9
216,10
217,2
218,5
219,1
220,10
221,2
222,10
223,5
224,6
225,4
226,2
227,3
228,6
229,2
230,8
231,5
232,7
233,8
234,6
235,1
236,10
237,5
238,10
239,4
240,1
241,7
242,6
243,5
244,8
245,9
246,2
247,1
248,4
249,6
250,2
251,5
252,5
253,10
254,1
255,6
256,7
257,5
258,2
259,9
260,3
261,5
262,2
263,4
264,5
265,6
266,9
267,8
268,6
269,3
270,8
271,2
272,8
273,9
274,8
275,2
276,6
277,3
278,4
279,2
280,10
281,1
282,8
283,4
284,7
285,7
286,7
287,6
288,5
289,5
290,8
291,5
292,4
293,6
294,8
295,7
296,7
297,1
298,3
299,8
300,4
301,7
302,5
303,8
304,4
305,9
306,7
307,5
308,2
309,2
310,1
311,4
312,1
313,8
314,6
315,8
316,10
317,5
318,8
319,8
320,10
321,8
322,10
323,4
324,1
325,10
326,9
327,1
328,2
329,4
330,2
331,5
332,6
333,8
334,10
335,1
336,10
337,5
338,3
339,2
340,2
341,5
342,5
343,3
344,2
345,9
346,1
347,2
348,10
349,5
350,4
351,5
352,9
353,2
354,2
355,5
356,7
357,7
358,6
359,4
360,3
361,1
362,4
363,5
364,9
365,9
366,7
367,6
368,10
369,10
370,2
371,10
372,2
373,6
374,9
375,1
376,6
377,9
378,9
379,7
380,7
381,6
382,7
383,1
384,9
385,5
386,5
387,5
388,6
389,3
390,1
391,10
392,1
393,1
394,9
395,8
396,9
397,4
398,10
399,2
400,8
