arc,originnode,destinationnode,capacity
1,1,14,507.0
2,1,29,320.0
3,1,43,336.0
4,1,53,625.0
5,1,60,594.0
6,1,64,584.0
7,1,72,310.0
8,1,78,404.0
9,1,86,629.0
10,1,87,335.0
11,1,102,411.0
12,1,134,403.0
13,1,202,572.0
14,1,212,359.0
15,1,214,259.0
16,1,231,229.0
17,1,240,572.0
18,1,290,420.0
19,1,292,441.0
20,1,306,321.0
21,1,324,270.0
22,1,352,515.0
23,1,354,518.0
24,1,360,548.0
25,1,374,408.0
26,1,385,340.0
27,1,395,556.0
28,1,404,320.0
29,1,433,606.0
30,1,453,260.0
31,1,454,479.0
32,1,465,434.0
33,1,472,473.0
34,1,528,375.0
35,1,568,260.0
36,1,578,466.0
37,2,23,618.0
38,2,44,252.0
39,2,51,493.0
40,2,70,552.0
41,2,77,261.0
42,2,85,607.0
43,2,91,533.0
44,2,105,236.0
45,2,132,304.0
46,2,158,639.0
47,2,165,472.0
48,2,185,465.0
49,2,187,303.0
50,2,190,641.0
51,2,200,576.0
52,2,206,381.0
53,2,209,258.0
54,2,239,541.0
55,2,251,594.0
56,2,287,305.0
57,2,313,379.0
58,2,318,533.0
59,2,349,561.0
60,2,353,307.0
61,2,372,324.0
62,2,393,334.0
63,2,413,382.0
64,2,417,368.0
65,2,437,529.0
66,2,474,510.0
67,2,511,427.0
68,2,562,220.0
69,2,586,593.0
70,3,34,544.0
71,3,90,537.0
72,3,170,415.0
73,3,172,413.0
74,3,179,364.0
75,3,182,638.0
76,3,193,367.0
77,3,197,260.0
78,3,198,281.0
79,3,220,277.0
80,3,227,500.0
81,3,234,288.0
82,3,264,348.0
83,3,266,369.0
84,3,277,521.0
85,3,280,439.0
86,3,282,247.0
87,3,295,515.0
88,3,321,292.0
89,3,326,291.0
90,3,358,640.0
91,3,382,537.0
92,3,415,260.0
93,3,418,483.0
94,3,420,377.0
95,3,430,386.0
96,3,459,516.0
97,3,460,284.0
98,3,463,448.0
99,3,483,250.0
100,3,498,366.0
101,3,499,540.0
102,3,515,406.0
103,3,569,291.0
104,4,48,597.0
105,4,81,233.0
106,4,96,583.0
107,4,101,559.0
108,4,117,334.0
109,4,125,279.0
110,4,142,500.0
111,4,160,511.0
112,4,163,620.0
113,4,169,545.0
114,4,221,236.0
115,4,246,413.0
116,4,248,392.0
117,4,252,525.0
118,4,254,431.0
119,4,262,616.0
120,4,298,382.0
121,4,303,476.0
122,4,359,598.0
123,4,378,487.0
124,4,478,278.0
125,4,506,410.0
126,4,512,581.0
127,4,535,438.0
128,4,547,637.0
129,4,577,444.0
130,4,582,633.0
131,4,587,511.0
132,5,27,269.0
133,5,37,473.0
134,5,58,618.0
135,5,68,391.0
136,5,99,318.0
137,5,104,345.0
138,5,119,351.0
139,5,126,581.0
140,5,155,338.0
141,5,157,350.0
142,5,194,564.0
143,5,294,380.0
144,5,300,631.0
145,5,363,536.0
146,5,436,520.0
147,5,500,563.0
148,5,508,340.0
149,5,527,635.0
150,5,530,446.0
151,5,560,317.0
152,5,575,323.0
153,5,583,435.0
154,6,31,585.0
155,6,36,284.0
156,6,56,536.0
157,6,84,285.0
158,6,93,640.0
159,6,94,540.0
160,6,114,356.0
161,6,115,231.0
162,6,145,481.0
163,6,208,540.0
164,6,211,399.0
165,6,226,328.0
166,6,260,389.0
167,6,281,572.0
168,6,283,242.0
169,6,350,637.0
170,6,364,500.0
171,6,366,408.0
172,6,378,454.0
173,6,386,331.0
174,6,396,612.0
175,6,434,533.0
176,6,446,373.0
177,6,467,541.0
178,6,477,283.0
179,6,486,607.0
180,6,506,454.0
181,6,533,222.0
182,6,535,563.0
183,6,541,267.0
184,6,557,517.0
185,7,14,555.0
186,7,25,604.0
187,7,27,356.0
188,7,29,576.0
189,7,50,512.0
190,7,53,549.0
191,7,58,373.0
192,7,68,359.0
193,7,72,409.0
194,7,78,387.0
195,7,80,626.0
196,7,86,402.0
197,7,99,278.0
198,7,111,440.0
199,7,119,257.0
200,7,126,456.0
201,7,136,305.0
202,7,157,321.0
203,7,191,572.0
204,7,194,332.0
205,7,214,458.0
206,7,231,245.0
207,7,300,289.0
208,7,312,365.0
209,7,335,506.0
210,7,345,305.0
211,7,360,410.0
212,7,363,322.0
213,7,374,634.0
214,7,428,319.0
