arc,originnode,destinationnode,capacity
1,1,6,183.0
2,1,369,194.0
3,1,441,208.0
4,1,451,148.0
5,1,515,169.0
6,2,9,219.0
7,2,60,90.0
8,2,167,90.0
9,2,257,92.0
10,2,317,218.0
11,2,324,183.0
12,2,331,205.0
13,2,337,221.0
14,2,393,142.0
15,2,413,159.0
16,2,453,173.0
17,2,465,205.0
18,2,477,153.0
19,2,508,83.0
20,2,591,150.0
21,3,136,180.0
22,3,233,173.0
23,3,327,199.0
24,3,343,114.0
25,3,351,97.0
26,3,456,82.0
27,3,457,118.0
28,3,479,115.0
29,3,514,105.0
30,3,545,115.0
31,4,13,208.0
32,4,22,166.0
33,4,27,205.0
34,4,29,103.0
35,4,69,156.0
36,4,132,169.0
37,4,250,107.0
38,4,253,125.0
39,4,389,191.0
40,4,401,114.0
41,4,475,130.0
42,4,541,109.0
43,5,26,81.0
44,5,55,95.0
45,5,103,138.0
46,5,145,98.0
47,5,211,80.0
48,5,227,127.0
49,5,288,88.0
50,5,294,186.0
51,5,345,97.0
52,5,482,208.0
53,6,1,95.0
54,6,71,81.0
55,6,241,104.0
56,6,244,175.0
57,6,247,95.0
58,6,380,95.0
59,6,385,82.0
60,6,421,129.0
61,6,514,163.0
62,6,515,118.0
63,6,531,207.0
64,7,49,116.0
65,7,155,191.0
66,7,257,76.0
67,7,324,130.0
68,7,393,170.0
69,7,508,106.0
70,7,556,118.0
71,8,18,101.0
72,8,56,209.0
73,8,96,174.0
74,8,151,173.0
75,8,234,203.0
76,8,280,134.0
77,8,425,198.0
78,8,464,121.0
79,8,521,135.0
80,8,530,132.0
81,8,566,90.0
82,9,2,75.0
83,9,60,141.0
84,9,147,118.0
85,9,317,137.0
86,9,324,121.0
87,9,331,210.0
88,9,337,91.0
89,9,361,74.0
90,9,413,190.0
91,9,465,135.0
92,9,477,146.0
93,9,508,119.0
94,9,591,121.0
95,10,72,116.0
96,10,192,200.0
97,10,254,220.0
98,10,371,152.0
99,10,517,101.0
100,10,524,114.0
101,10,525,159.0
102,10,584,158.0
103,10,600,122.0
104,11,37,80.0
105,11,112,145.0
106,11,175,221.0
107,11,196,198.0
108,11,399,113.0
109,11,552,86.0
110,12,20,214.0
111,12,32,154.0
112,12,39,183.0
113,12,54,132.0
114,12,76,151.0
115,12,102,126.0
116,12,144,92.0
117,12,200,108.0
118,12,237,169.0
119,12,260,198.0
120,12,265,149.0
121,12,302,107.0
122,12,336,171.0
123,12,364,161.0
124,12,403,207.0
125,12,407,197.0
126,12,497,77.0
127,12,548,165.0
128,12,565,142.0
129,13,4,157.0
130,13,27,149.0
131,13,41,77.0
132,13,69,205.0
133,13,90,141.0
134,13,165,115.0
135,13,253,131.0
136,13,263,120.0
137,13,389,96.0
138,13,401,91.0
139,13,475,75.0
140,13,510,204.0
141,14,47,178.0
142,14,86,205.0
143,14,125,74.0
144,14,363,146.0
145,14,382,186.0
146,14,390,86.0
147,14,417,115.0
148,14,426,98.0
149,14,458,134.0
150,14,502,121.0
151,15,19,192.0
152,15,35,117.0
153,15,50,159.0
154,15,86,150.0
155,15,156,186.0
156,15,169,103.0
157,15,222,201.0
158,15,363,206.0
159,15,382,122.0
160,15,415,190.0
161,15,426,74.0
162,15,428,103.0
163,15,476,170.0
164,15,494,207.0
165,15,574,144.0
166,16,139,146.0
167,16,147,163.0
168,16,194,78.0
169,16,215,220.0
170,16,292,199.0
171,16,305,114.0
172,16,307,111.0
173,16,337,214.0
174,16,361,111.0
175,16,470,120.0
176,16,491,157.0
177,16,551,176.0
178,16,591,97.0
179,17,87,97.0
180,17,143,76.0
181,17,201,94.0
182,17,272,177.0
183,17,332,215.0
184,17,370,197.0
185,17,384,92.0
186,17,392,176.0
187,17,403,201.0
188,17,497,183.0
189,17,511,77.0
190,17,565,199.0
191,18,8,160.0
192,18,51,163.0
193,18,96,177.0
194,18,151,151.0
195,18,234,197.0
196,18,239,84.0
197,18,310,208.0
198,18,425,182.0
199,18,464,185.0
200,18,530,118.0
201,18,566,77.0
202,18,593,206.0
203,19,15,149.0
204,19,35,111.0
205,19,125,210.0
206,19,222,115.0
207,19,238,100.0
208,19,342,212.0
209,19,363,165.0
210,19,376,116.0
211,19,382,195.0
212,19,415,93.0
213,19,426,151.0
214,19,494,141.0
215,20,12,217.0
216,20,39,221.0
217,20,54,172.0
218,20,76,94.0
219,20,100,137.0
220,20,144,103.0
221,20,157,164.0
222,20,200,106.0
223,20,243,191.0
224,20,260,221.0
225,20,267,175.0
226,20,336,171.0
227,20,339,171.0
228,20,403,156.0
229,20,407,170.0
230,20,497,139.0
231,20,503,186.0
232,20,518,139.0
233,20,548,188.0
234,20,565,152.0
235,21,68,176.0
236,21,109,101.0
237,21,203,127.0
238,21,277,131.0
239,21,301,138.0
240,21,346,100.0
241,21,417,216.0
242,21,493,195.0
243,21,502,161.0
244,22,4,193.0
245,22,81,185.0
246,22,250,94.0
247,22,375,170.0
248,22,398,138.0
249,22,471,99.0
250,22,475,153.0
251,22,505,207.0
252,23,109,103.0
253,23,119,79.0
254,23,152,168.0
255,23,189,113.0
256,23,277,125.0
257,23,296,120.0
258,23,309,78.0
259,23,315,84.0
260,23,346,171.0
261,23,438,96.0
262,23,446,135.0
263,23,484,145.0
264,23,493,127.0
265,24,30,137.0
266,24,137,151.0
267,24,283,110.0
268,24,546,145.0
269,25,91,96.0
270,25,93,95.0
271,25,159,189.0
272,25,219,91.0
273,25,329,133.0
274,25,348,212.0
275,25,404,160.0
276,25,436,123.0
277,25,454,166.0
278,25,460,221.0
279,25,544,86.0
280,25,547,134.0
281,25,549,147.0
282,25,561,78.0
283,26,5,214.0
284,26,36,174.0
285,26,103,101.0
286,26,145,138.0
287,26,172,160.0
288,26,211,146.0
289,26,227,139.0
290,26,288,147.0
291,26,308,216.0
292,26,316,109.0
293,26,418,197.0
294,26,433,114.0
295,26,482,98.0
296,27,4,214.0
297,27,13,145.0
298,27,41,139.0
299,27,69,209.0
300,27,90,162.0
301,27,165,176.0
302,27,253,75.0
303,27,263,153.0
304,27,389,100.0
305,27,401,97.0
306,27,510,134.0
307,28,59,211.0
308,28,61,85.0
309,28,91,155.0
310,28,182,166.0
311,28,232,144.0
312,28,279,104.0
313,28,325,194.0
314,28,340,145.0
315,28,348,198.0
316,28,391,173.0
317,28,404,221.0
318,28,439,141.0
319,28,474,100.0
320,28,499,109.0
321,28,507,188.0
322,29,4,125.0
323,29,69,171.0
324,29,132,145.0
325,29,250,85.0
326,29,253,197.0
327,29,328,180.0
328,29,389,87.0
329,29,401,171.0
330,29,475,164.0
331,29,572,146.0
332,30,24,212.0
333,30,137,138.0
334,30,183,124.0
335,30,283,156.0
336,30,546,212.0
337,31,104,100.0
338,31,135,80.0
339,31,187,119.0
340,31,206,161.0
341,31,284,203.0
342,31,285,140.0
343,31,356,177.0
344,31,377,103.0
345,31,462,107.0
346,31,568,106.0
347,31,583,152.0
348,31,585,136.0
349,32,12,114.0
350,32,39,145.0
351,32,54,100.0
352,32,87,204.0
353,32,102,133.0
354,32,143,124.0
