experiment_id,randomseed,numcom,numnodes,radius,gamma_init,gamma_arc,gamma_node,optgap,numarcs,total_time,goodinstance_flag
51,19749,300,150,0.15,200,24334.0,5100.0,0.01,1294,21.062448024749756,0
51,19749,300,150,0.15,200,24334.0,2650.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,1425.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,812.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,506.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,353.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,276.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,238.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,257.0,0.01,1294,27.9620258808136,0
51,19749,300,150,0.15,200,24334.0,248.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,252.0,0.01,1294,23.059650897979736,0
51,19749,300,150,0.15,200,24334.0,254.0,0.01,1294,41.046138048172,0
51,19749,300,150,0.15,200,24334.0,256.0,0.01,1294,23.45657992362976,0
51,19749,300,150,0.15,200,24334.0,255.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,256.0,0.01,1294,24.714448928833008,0
51,19749,300,150,0.15,200,24334.0,256.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,256.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,256.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,256.0,0.01,1294,Inf,0
51,19749,300,150,0.15,200,24334.0,256.0,0.01,1294,Inf,0
