experiment_id,randomseed,numcom,numnodes,radius,gamma_init,gamma_arc,gamma_node,optgap,numarcs,total_time,goodinstance_flag
55,43885,300,150,0.15,200,19523.0,5100.0,0.01,1506,18.628134965896606,0
55,43885,300,150,0.15,200,19523.0,2650.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,1425.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,812.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,506.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,353.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,276.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,314.0,0.01,1506,23.115001916885376,0
55,43885,300,150,0.15,200,19523.0,334.0,0.01,1506,25.46806788444519,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,29.79249405860901,0
55,43885,300,150,0.15,200,19523.0,348.0,0.01,1506,34.88887405395508,0
55,43885,300,150,0.15,200,19523.0,346.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,345.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,Inf,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,34.4711229801178,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,34.45896792411804,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,38.621050119400024,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,31.43124794960022,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,44.08572816848755,0
55,43885,300,150,0.15,200,19523.0,344.0,0.01,1506,45.147289991378784,0
