node,x_coord,y_coord,capacity
1,0.29175907610225016,0.29175907610225016,604.0
2,0.3885985662810937,0.3885985662810937,1289.0
3,0.3440471723667142,0.3440471723667142,541.0
4,0.34791190527988536,0.34791190527988536,470.0
5,0.6456695497528429,0.6456695497528429,500.0
6,0.9263746804447689,0.9263746804447689,643.0
7,0.5646606242016156,0.5646606242016156,567.0
8,0.9447819126185613,0.9447819126185613,997.0
9,0.9734523715481234,0.9734523715481234,856.0
10,0.7265291048388592,0.7265291048388592,1121.0
11,0.4098096011543786,0.4098096011543786,781.0
12,0.9664307612716514,0.9664307612716514,679.0
13,0.6829868058028289,0.6829868058028289,1312.0
14,0.18556008992324413,0.18556008992324413,550.0
15,0.31620273978206503,0.31620273978206503,483.0
16,0.4525538066535856,0.4525538066535856,1210.0
17,0.3589189820846691,0.3589189820846691,757.0
18,0.47837301727785964,0.47837301727785964,992.0
19,0.9133474118096054,0.9133474118096054,567.0
20,0.05024046254937786,0.05024046254937786,742.0
21,0.7766335128406996,0.7766335128406996,1257.0
22,0.788640964294185,0.788640964294185,1253.0
23,0.5200032489324661,0.5200032489324661,1346.0
24,0.6383401833216826,0.6383401833216826,1168.0
25,0.017094623634089978,0.017094623634089978,1105.0
26,0.06582943375731287,0.06582943375731287,1046.0
27,0.336170890851873,0.336170890851873,1230.0
28,0.570869590623634,0.570869590623634,1140.0
29,0.24517325853180783,0.24517325853180783,1336.0
30,0.2689193685758736,0.2689193685758736,526.0
31,0.19033164457811835,0.19033164457811835,495.0
32,0.53349000850896,0.53349000850896,784.0
33,0.9227044454377946,0.9227044454377946,914.0
34,0.7645066729623632,0.7645066729623632,992.0
35,0.6572657462513382,0.6572657462513382,768.0
36,0.22872328032295186,0.22872328032295186,855.0
37,0.5202448018511401,0.5202448018511401,545.0
38,0.7722017814758294,0.7722017814758294,1136.0
39,0.09466666866084283,0.09466666866084283,1077.0
40,0.281098458754086,0.281098458754086,696.0
41,0.4808960731792108,0.4808960731792108,727.0
42,0.8807860227531915,0.8807860227531915,1001.0
43,0.7598151129957045,0.7598151129957045,718.0
44,0.060760049688533546,0.060760049688533546,1315.0
45,0.8978660275444752,0.8978660275444752,1317.0
46,0.9788933252972571,0.9788933252972571,900.0
47,0.11529892438099598,0.11529892438099598,1254.0
48,0.8430439383449682,0.8430439383449682,1155.0
49,0.4331782617732649,0.4331782617732649,817.0
50,0.40266205573974,0.40266205573974,1110.0
51,0.4972883227865973,0.4972883227865973,533.0
52,0.3221646143344382,0.3221646143344382,854.0
53,0.4891986080991919,0.4891986080991919,1178.0
54,0.5144147454415883,0.5144147454415883,1009.0
55,0.6762052172970031,0.6762052172970031,776.0
56,0.45053703743385953,0.45053703743385953,1041.0
57,0.7903308545277995,0.7903308545277995,829.0
58,0.6768677583812713,0.6768677583812713,1283.0
59,0.18004043584193796,0.18004043584193796,1208.0
60,0.7349052391166412,0.7349052391166412,837.0
61,0.3380694752061414,0.3380694752061414,1180.0
62,0.32311333689726685,0.32311333689726685,1133.0
63,0.41523284025038476,0.41523284025038476,1053.0
64,0.26753089891390724,0.26753089891390724,534.0
65,0.23082627128457944,0.23082627128457944,557.0
66,0.7689014156874655,0.7689014156874655,755.0
67,0.8421417472586717,0.8421417472586717,1233.0
68,0.9867935708226717,0.9867935708226717,946.0
69,0.1731294939579956,0.1731294939579956,1188.0
70,0.8979852572482844,0.8979852572482844,1098.0
71,0.5627457459915624,0.5627457459915624,546.0
