commodity,quantity
1,1
2,6
3,2
4,8
5,1
6,4
7,4
8,5
9,6
10,7
11,1
12,9
13,7
14,1
15,8
16,6
17,7
18,6
19,8
20,10
21,2
22,1
23,2
24,3
25,9
26,8
27,1
28,10
29,10
30,5
31,4
32,9
33,4
34,10
35,6
36,1
37,2
38,10
39,2
40,2
41,3
42,1
43,6
44,6
45,7
46,1
47,4
48,8
49,8
50,8
51,2
52,7
53,8
54,1
55,4
56,8
57,10
58,3
59,7
60,6
61,8
62,8
63,7
64,6
65,9
66,3
67,10
68,3
69,9
70,9
71,7
72,7
73,9
74,4
75,4
76,7
77,3
78,5
79,3
80,7
81,2
82,6
83,5
84,7
85,6
86,2
87,3
88,4
89,3
90,5
91,10
92,6
93,7
94,7
95,7
96,8
97,8
98,9
99,4
100,5
101,7
102,1
103,8
104,2
105,10
106,5
107,2
108,4
109,4
110,5
111,7
112,9
113,4
114,3
115,8
116,9
117,3
118,1
119,4
120,3
121,8
122,3
123,9
124,7
125,2
126,8
127,5
128,1
129,4
130,8
131,8
132,9
133,3
134,6
135,2
136,1
137,1
138,1
139,2
140,3
141,9
142,5
143,2
144,2
145,3
146,10
147,9
148,1
149,2
150,6
151,1
152,1
153,9
154,10
155,9
156,7
157,7
158,1
159,9
160,2
161,2
162,10
163,4
164,6
165,3
166,8
167,2
168,2
169,1
170,2
171,8
172,9
173,6
174,2
175,8
176,5
177,10
178,3
179,2
180,3
181,9
182,1
183,6
184,6
185,9
186,5
187,5
188,8
189,5
190,9
191,10
192,4
193,7
194,2
195,4
196,8
197,7
198,2
199,1
200,6
201,1
202,9
203,4
204,6
205,4
206,6
207,6
208,10
209,10
210,1
211,5
212,5
213,8
214,8
215,5
216,6
217,3
218,5
219,10
220,3
221,3
222,4
223,5
224,4
225,9
226,7
227,7
228,6
229,2
230,1
231,7
232,2
233,4
234,7
235,3
236,5
237,4
238,2
239,10
240,1
241,1
242,10
243,1
244,1
245,10
246,8
247,10
248,7
249,4
250,4
251,10
252,7
253,4
254,1
255,1
256,7
257,1
258,8
259,1
260,2
261,4
262,10
263,5
264,5
265,7
266,4
267,5
268,3
269,5
270,10
271,5
272,2
273,1
274,9
275,10
276,1
277,9
278,4
279,5
280,3
281,6
282,8
283,9
284,4
285,5
286,10
287,4
288,2
289,3
290,5
291,5
292,2
293,6
294,4
295,7
296,6
297,10
298,10
299,3
300,4
301,8
302,8
303,1
304,8
305,7
306,2
307,5
308,1
309,8
310,8
311,7
312,6
313,4
314,3
315,4
316,5
317,10
318,5
319,10
320,7
321,4
322,2
323,3
324,7
325,1
326,10
327,10
328,1
329,5
330,1
331,1
332,2
333,7
334,9
335,2
336,2
337,2
338,6
339,4
340,5
341,5
342,5
343,4
344,8
345,3
346,9
347,2
348,4
349,7
350,10
351,2
352,4
353,6
354,10
355,6
356,2
357,2
358,10
359,3
360,7
361,4
362,4
363,9
364,2
365,7
366,5
367,3
368,10
369,1
370,8
371,8
372,1
373,4
374,4
375,8
376,5
377,7
378,8
379,4
380,2
381,10
382,1
383,6
384,2
385,6
386,4
387,5
388,7
389,2
390,9
391,10
392,4
393,10
394,10
395,10
396,5
397,4
398,8
399,9
400,1
