commodity,quantity
1,4
2,6
3,9
4,2
5,1
6,1
7,6
8,7
9,4
10,4
11,9
12,10
13,1
14,7
15,4
16,10
17,5
18,1
19,7
20,4
21,1
22,4
23,10
24,6
25,3
26,2
27,8
28,5
29,7
30,2
31,7
32,1
33,5
34,1
35,10
36,2
37,2
38,5
39,2
40,8
41,7
42,4
43,2
44,6
45,1
46,7
47,8
48,3
49,4
50,5
51,3
52,10
53,4
54,1
55,7
56,4
57,6
58,2
59,1
60,7
61,6
62,8
63,8
64,3
65,5
66,5
67,3
68,5
69,5
70,10
71,6
72,8
73,6
74,8
75,6
76,4
77,5
78,7
79,9
80,3
81,4
82,6
83,5
84,3
85,9
86,10
87,8
88,1
89,10
90,8
91,5
92,5
93,9
94,8
95,1
96,3
97,9
98,5
99,4
100,8
101,7
102,10
103,2
104,8
105,6
106,2
107,4
108,9
109,5
110,5
111,8
112,1
113,6
114,6
115,10
116,10
117,9
118,4
119,4
120,6
121,10
122,1
123,6
124,3
125,7
126,10
127,2
128,5
129,8
130,3
131,7
132,5
133,8
134,4
135,7
136,9
137,4
138,9
139,6
140,2
141,3
142,7
143,2
144,3
145,1
146,6
147,5
148,6
149,7
150,9
151,8
152,9
153,4
154,5
155,6
156,8
157,4
158,4
159,10
160,2
161,9
162,6
163,6
164,5
165,6
166,10
167,8
168,8
169,2
170,7
171,9
172,2
173,6
174,1
175,9
176,2
177,10
178,9
179,7
180,1
181,10
182,3
183,9
184,7
185,10
186,10
187,4
188,1
189,7
190,9
191,4
192,9
193,7
194,10
195,5
196,3
197,10
198,10
199,10
200,8
201,2
202,1
203,4
204,3
205,10
206,3
207,9
208,7
209,9
210,1
211,1
212,8
213,3
214,6
215,1
216,7
217,10
218,4
219,6
220,8
221,10
222,1
223,8
224,3
225,9
226,3
227,5
228,1
229,6
230,4
231,2
232,7
233,4
234,9
235,10
236,4
237,2
238,4
239,4
240,5
241,7
242,7
243,4
244,2
245,1
246,9
247,8
248,9
249,9
250,4
251,2
252,1
253,7
254,4
255,4
256,7
257,7
258,10
259,7
260,6
261,5
262,5
263,2
264,8
265,2
266,8
267,3
268,4
269,3
270,3
271,4
272,1
273,4
274,9
275,2
276,2
277,5
278,8
279,8
280,1
281,4
282,4
283,10
284,9
285,4
286,7
287,8
288,3
289,2
290,2
291,8
292,9
293,3
294,8
295,4
296,7
297,8
298,2
299,4
300,10
301,8
302,4
303,10
304,7
305,9
306,3
307,2
308,3
309,2
310,2
311,8
312,9
313,3
314,4
315,9
316,2
317,7
318,3
319,6
320,4
321,2
322,2
323,6
324,1
325,6
326,9
327,8
328,7
329,6
330,7
331,9
332,4
333,8
334,10
335,6
336,9
337,7
338,9
339,6
340,3
341,9
342,10
343,9
344,8
345,9
346,4
347,8
348,2
349,7
350,10
351,1
352,9
353,8
354,2
355,7
356,6
357,7
358,5
359,10
360,1
361,7
362,9
363,1
364,3
365,7
366,1
367,1
368,7
369,8
370,6
371,10
372,8
373,1
374,9
375,1
376,8
377,9
378,4
379,10
380,2
381,9
382,9
383,8
384,1
385,3
386,1
387,10
388,2
389,4
390,2
391,3
392,2
393,3
394,7
395,7
396,9
397,5
398,1
399,5
400,6
