arc,originnode,destinationnode,capacity
1,1,40,11.0
2,1,44,20.0
3,1,51,15.0
4,1,67,22.0
5,1,73,10.0
6,1,93,24.0
7,1,94,23.0
8,1,99,15.0
9,1,149,21.0
10,1,182,18.0
11,1,199,23.0
12,1,271,26.0
13,1,359,26.0
14,1,363,25.0
15,1,403,18.0
16,1,406,22.0
17,1,428,22.0
18,1,472,21.0
19,1,481,18.0
20,1,514,18.0
21,1,541,23.0
22,1,575,17.0
23,2,8,16.0
24,2,97,16.0
25,2,110,17.0
26,2,122,16.0
27,2,164,15.0
28,2,184,12.0
29,2,194,29.0
30,2,211,13.0
31,2,254,22.0
32,2,256,25.0
33,2,261,28.0
34,2,262,13.0
35,2,285,28.0
36,2,290,23.0
37,2,298,27.0
38,2,302,19.0
39,2,324,23.0
40,2,339,22.0
41,2,351,25.0
42,2,363,18.0
43,2,368,21.0
44,2,381,23.0
45,2,403,15.0
46,2,404,29.0
47,2,405,27.0
48,2,411,19.0
49,2,412,11.0
50,2,417,27.0
51,2,431,22.0
52,2,443,24.0
53,2,474,22.0
54,2,490,10.0
55,2,498,21.0
56,2,526,17.0
57,2,553,23.0
58,2,554,24.0
59,2,572,18.0
60,3,44,16.0
61,3,68,21.0
62,3,70,20.0
63,3,73,29.0
64,3,76,14.0
65,3,89,26.0
66,3,103,18.0
67,3,135,16.0
68,3,148,12.0
69,3,150,19.0
70,3,192,13.0
71,3,196,22.0
72,3,209,12.0
73,3,281,17.0
74,3,290,29.0
75,3,314,22.0
76,3,328,11.0
77,3,359,19.0
78,3,389,26.0
79,3,472,10.0
80,3,506,18.0
81,3,514,25.0
82,3,550,19.0
83,3,557,24.0
84,4,11,10.0
85,4,47,20.0
86,4,57,17.0
87,4,58,12.0
88,4,59,22.0
89,4,69,16.0
90,4,77,19.0
91,4,87,13.0
92,4,123,13.0
93,4,128,22.0
94,4,130,18.0
95,4,137,24.0
96,4,153,29.0
97,4,157,23.0
98,4,178,20.0
99,4,299,28.0
100,4,316,17.0
101,4,329,11.0
102,4,355,20.0
103,4,376,29.0
104,4,387,27.0
105,4,391,14.0
106,4,408,16.0
107,4,441,10.0
108,4,447,12.0
109,4,460,11.0
110,4,468,16.0
111,4,470,27.0
112,4,477,18.0
113,4,505,25.0
114,4,508,15.0
115,4,511,23.0
116,4,520,17.0
117,4,530,24.0
118,4,552,13.0
119,4,568,26.0
120,4,580,11.0
121,4,586,19.0
122,4,593,22.0
123,4,600,21.0
124,5,9,14.0
125,5,11,26.0
126,5,28,26.0
127,5,31,26.0
128,5,43,26.0
129,5,47,10.0
130,5,58,12.0
131,5,78,12.0
132,5,98,11.0
133,5,113,13.0
134,5,130,19.0
135,5,137,12.0
136,5,138,24.0
137,5,168,23.0
138,5,169,15.0
139,5,198,10.0
140,5,200,23.0
141,5,223,20.0
142,5,244,25.0
143,5,247,15.0
144,5,274,28.0
145,5,277,11.0
146,5,297,23.0
147,5,316,15.0
148,5,323,14.0
149,5,338,23.0
150,5,340,29.0
151,5,346,12.0
152,5,347,26.0
153,5,367,21.0
154,5,386,14.0
155,5,435,24.0
156,5,485,18.0
157,5,491,28.0
158,5,505,26.0
159,5,547,29.0
160,5,548,22.0
161,5,552,27.0
162,5,562,25.0
163,5,581,11.0
164,5,587,16.0
165,5,593,16.0
166,5,598,25.0
167,6,16,26.0
