arc,originnode,destinationnode,capacity
1,1,3,130.0
2,1,11,56.0
3,1,38,136.0
4,1,89,71.0
5,1,93,134.0
6,1,97,62.0
7,1,184,118.0
8,1,193,134.0
9,1,210,108.0
10,1,268,122.0
11,1,306,104.0
12,1,319,145.0
13,1,377,67.0
14,1,391,54.0
15,2,3,142.0
16,2,17,137.0
17,2,55,67.0
18,2,72,119.0
19,2,121,71.0
20,2,128,106.0
21,2,131,123.0
22,2,143,63.0
23,2,196,127.0
24,2,228,144.0
25,2,233,65.0
26,2,329,130.0
27,2,331,86.0
28,2,356,104.0
29,2,377,97.0
30,3,1,76.0
31,3,2,88.0
32,3,17,96.0
33,3,38,127.0
34,3,55,69.0
35,3,75,110.0
36,3,93,100.0
37,3,97,72.0
38,3,121,142.0
39,3,131,123.0
40,3,196,65.0
41,3,205,106.0
42,3,233,123.0
43,3,306,62.0
44,3,331,97.0
45,3,377,101.0
46,4,66,149.0
47,4,99,110.0
48,4,194,127.0
49,4,211,117.0
50,4,245,59.0
51,4,276,99.0
52,4,333,91.0
53,4,365,87.0
54,4,369,98.0
55,4,396,93.0
56,5,21,83.0
57,5,24,68.0
58,5,35,93.0
59,5,76,70.0
60,5,114,137.0
61,5,167,74.0
62,5,215,124.0
63,5,239,138.0
64,5,255,108.0
65,5,262,127.0
66,5,369,82.0
67,6,23,112.0
68,6,48,100.0
69,6,115,104.0
70,6,159,116.0
71,6,172,112.0
72,6,195,85.0
73,6,223,133.0
74,6,245,135.0
75,6,281,128.0
76,6,284,55.0
77,6,316,149.0
78,6,324,127.0
79,6,354,86.0
80,7,174,135.0
81,7,176,80.0
82,7,209,62.0
83,7,231,85.0
84,7,234,63.0
85,7,249,133.0
86,7,310,141.0
87,7,379,112.0
88,7,392,107.0
89,8,37,150.0
90,8,43,121.0
91,8,47,131.0
92,8,64,87.0
93,8,139,147.0
94,8,151,135.0
95,8,155,104.0
96,8,160,148.0
97,8,260,146.0
98,8,363,62.0
99,9,31,81.0
100,9,69,71.0
101,9,117,55.0
102,9,135,108.0
103,9,137,120.0
104,9,162,100.0
105,9,217,148.0
106,9,348,68.0
107,9,389,144.0
108,10,202,102.0
109,10,208,136.0
110,10,346,70.0
111,10,348,55.0
112,11,1,136.0
113,11,17,90.0
114,11,20,138.0
115,11,25,147.0
116,11,38,52.0
117,11,60,58.0
118,11,89,105.0
119,11,97,120.0
120,11,128,63.0
121,11,184,82.0
122,11,196,57.0
123,11,205,147.0
124,11,210,83.0
125,11,230,72.0
126,11,268,137.0
127,11,306,137.0
128,11,320,132.0
129,11,361,139.0
130,11,367,82.0
131,11,377,116.0
132,11,391,131.0
133,12,43,150.0
134,12,73,100.0
135,12,102,87.0
136,12,252,97.0
137,12,312,97.0
138,12,336,115.0
139,12,362,62.0
140,12,393,123.0
141,13,30,108.0
142,13,69,63.0
143,13,90,87.0
144,13,106,135.0
145,13,173,96.0
146,13,212,138.0
147,13,269,135.0
148,13,389,78.0
149,14,16,132.0
150,14,27,142.0
151,14,185,64.0
152,14,222,76.0
153,14,246,144.0
154,14,253,59.0
155,14,342,111.0
156,14,346,119.0
157,15,28,99.0
158,15,77,84.0
159,15,94,56.0
160,15,120,148.0
161,15,156,52.0
162,15,182,106.0
163,15,199,90.0
164,15,254,88.0
165,15,263,124.0
166,15,270,74.0
167,15,313,123.0
168,15,328,120.0
169,15,330,97.0
170,15,360,125.0
171,16,14,148.0
172,16,27,90.0
173,16,80,118.0
174,16,149,92.0
175,16,226,72.0
176,16,246,71.0
177,16,248,102.0
178,16,253,88.0
179,16,374,135.0
180,16,394,78.0
181,17,2,94.0
182,17,3,114.0
183,17,11,124.0
184,17,20,56.0
185,17,55,62.0
186,17,60,137.0
187,17,81,96.0
188,17,97,66.0
189,17,128,136.0
190,17,196,88.0
191,17,201,136.0
192,17,205,60.0
193,17,228,96.0
194,17,230,80.0
