arc,originnode,destinationnode,capacity
1,1,92,105.0
2,1,292,105.0
3,1,418,85.0
4,2,13,65.0
5,2,27,39.0
6,2,31,45.0
7,2,54,66.0
8,2,100,90.0
9,2,133,90.0
10,2,243,40.0
11,2,340,94.0
12,2,355,93.0
13,2,358,67.0
14,2,429,48.0
15,2,498,45.0
16,2,574,99.0
17,2,592,93.0
18,3,256,87.0
19,3,257,96.0
20,3,300,53.0
21,3,308,105.0
22,3,434,43.0
23,3,436,83.0
24,3,515,44.0
25,3,537,89.0
26,3,545,64.0
27,4,296,76.0
28,4,362,50.0
29,4,444,54.0
30,4,451,75.0
31,5,20,83.0
32,5,42,100.0
33,5,52,102.0
34,5,72,93.0
35,5,321,90.0
36,5,338,47.0
37,5,414,45.0
38,5,440,101.0
39,5,520,85.0
40,5,522,41.0
41,5,590,70.0
42,6,65,102.0
43,6,105,83.0
44,6,140,96.0
45,6,247,78.0
46,6,324,100.0
47,6,395,85.0
48,6,407,86.0
49,6,480,96.0
50,7,58,85.0
51,7,162,36.0
52,7,202,79.0
53,7,242,86.0
54,7,278,63.0
55,7,286,100.0
56,7,315,76.0
57,7,487,53.0
58,7,509,96.0
59,7,560,65.0
60,8,19,98.0
61,8,43,81.0
62,8,49,62.0
63,8,85,56.0
64,8,171,90.0
65,8,188,93.0
66,8,306,67.0
67,8,329,47.0
68,8,363,60.0
69,8,387,53.0
70,8,448,80.0
71,8,475,106.0
72,8,505,98.0
73,8,585,82.0
74,9,25,101.0
75,9,51,40.0
76,9,65,36.0
77,9,105,59.0
78,9,137,97.0
79,9,218,66.0
80,9,281,101.0
81,9,287,106.0
82,9,353,88.0
83,9,389,87.0
84,9,581,42.0
85,10,57,46.0
86,10,95,94.0
87,10,107,60.0
88,10,141,51.0
89,10,165,57.0
90,10,183,46.0
91,10,354,37.0
92,10,406,62.0
93,10,424,56.0
94,11,225,43.0
95,11,299,49.0
96,11,383,78.0
97,11,465,41.0
98,11,517,102.0
99,11,542,73.0
100,11,547,47.0
101,12,20,90.0
102,12,42,84.0
103,12,52,85.0
104,12,97,43.0
105,12,154,88.0
106,12,295,73.0
107,12,321,90.0
108,12,371,63.0
109,12,409,78.0
110,12,433,89.0
111,12,440,68.0
112,12,500,100.0
113,12,503,99.0
114,12,582,54.0
115,12,590,68.0
116,13,2,51.0
117,13,27,36.0
118,13,33,71.0
119,13,54,41.0
120,13,133,102.0
121,13,273,93.0
122,13,328,68.0
123,13,355,48.0
124,13,498,75.0
125,13,504,87.0
126,13,510,82.0
127,13,524,74.0
128,13,574,68.0
129,14,50,94.0
130,14,207,72.0
131,14,236,95.0
132,14,283,91.0
133,14,342,83.0
134,14,347,77.0
135,14,364,40.0
136,14,568,79.0
137,14,594,38.0
138,15,35,95.0
139,15,61,55.0
140,15,69,72.0
141,15,120,49.0
142,15,121,82.0
143,15,132,101.0
144,15,196,57.0
145,15,309,91.0
146,15,381,41.0
147,15,438,39.0
148,15,490,95.0
149,15,508,46.0
150,15,546,82.0
151,15,576,95.0
152,15,593,105.0
153,16,22,63.0
154,16,23,72.0
155,16,37,56.0
156,16,182,51.0
157,16,186,86.0
158,16,330,54.0
159,16,351,89.0
160,16,396,53.0
161,16,437,90.0
162,16,446,80.0
163,17,41,42.0
164,17,115,82.0
165,17,177,48.0
166,17,247,75.0
167,17,276,56.0
168,17,407,55.0
169,17,410,96.0
170,17,472,100.0
171,17,539,52.0
172,18,72,97.0
173,18,109,43.0
174,18,125,94.0
175,18,131,50.0
176,18,175,42.0
177,18,183,61.0
178,18,406,77.0
179,18,409,76.0
180,18,419,99.0
181,18,424,76.0
182,18,522,64.0
183,18,527,93.0
184,18,531,105.0
185,18,590,58.0
186,19,8,80.0
187,19,49,104.0
188,19,171,102.0
189,19,306,105.0
190,19,331,105.0
191,19,339,102.0
192,19,363,100.0
193,19,387,72.0
194,19,448,37.0
195,19,475,98.0
196,19,505,55.0
197,19,585,91.0
198,20,5,98.0
199,20,12,80.0
200,20,42,41.0
201,20,52,85.0
202,20,72,84.0
203,20,97,77.0
204,20,154,36.0
205,20,226,85.0
206,20,321,69.0
207,20,338,71.0
208,20,414,83.0
209,20,440,57.0
210,20,500,103.0
211,20,503,75.0
212,20,582,36.0
213,20,590,77.0
214,21,40,80.0
215,21,56,97.0
216,21,150,90.0
217,21,201,63.0
218,21,229,39.0
219,21,288,98.0
220,21,404,53.0
221,21,420,50.0
222,21,460,92.0
223,21,533,94.0
224,21,566,46.0
225,22,16,56.0
226,22,182,85.0
227,22,186,91.0
228,22,209,102.0
229,22,213,72.0
230,22,264,74.0
231,22,320,80.0
232,22,351,72.0
233,22,367,66.0
234,22,446,61.0
235,23,16,105.0
236,23,37,95.0
237,23,88,58.0
238,23,182,82.0
239,23,186,96.0
240,23,241,106.0
241,23,298,85.0
242,23,337,57.0
243,23,402,43.0
244,23,423,51.0
245,23,458,56.0
246,23,460,77.0
247,24,62,53.0
248,24,98,72.0
249,24,126,77.0
250,24,149,79.0
251,24,195,45.0
252,24,281,52.0
253,24,289,60.0
254,24,367,67.0
255,24,397,90.0
256,24,405,51.0
257,24,442,83.0
258,24,454,87.0
259,24,467,72.0
260,24,579,87.0
261,24,583,53.0
262,25,9,44.0
263,25,105,90.0
264,25,137,55.0
265,25,218,83.0
266,25,223,58.0
267,25,287,88.0
268,25,305,50.0
269,25,389,83.0
270,25,445,99.0
