arc,originnode,destinationnode,capacity
1,1,48,55.0
2,1,97,49.0
3,1,173,45.0
4,1,266,71.0
5,1,273,38.0
6,1,279,74.0
7,1,293,51.0
8,1,315,42.0
9,1,409,36.0
10,1,509,30.0
11,1,531,50.0
12,1,532,56.0
13,1,550,37.0
14,1,557,53.0
15,1,595,35.0
16,2,53,37.0
17,2,223,44.0
18,2,312,37.0
19,2,349,58.0
20,2,390,69.0
21,2,424,35.0
22,2,519,79.0
23,2,523,68.0
24,3,25,27.0
25,3,36,61.0
26,3,47,60.0
27,3,195,38.0
28,3,430,68.0
29,3,518,78.0
30,3,578,27.0
31,4,101,38.0
32,4,108,40.0
33,4,131,32.0
34,4,225,48.0
35,4,256,52.0
36,4,264,56.0
37,4,284,30.0
38,4,311,31.0
39,4,365,50.0
40,4,464,37.0
41,4,479,41.0
42,4,495,56.0
43,4,600,29.0
44,5,24,39.0
45,5,28,38.0
46,5,152,44.0
47,5,175,34.0
48,5,219,29.0
49,5,258,41.0
50,5,280,76.0
51,5,292,36.0
52,5,320,30.0
53,5,414,66.0
54,5,434,34.0
55,5,528,78.0
56,5,540,51.0
57,6,18,35.0
58,6,33,30.0
59,6,62,40.0
60,6,132,45.0
61,6,134,35.0
62,6,162,35.0
63,6,191,53.0
64,6,205,27.0
65,6,255,74.0
66,6,328,62.0
67,6,406,48.0
68,6,492,58.0
69,6,538,28.0
70,6,565,38.0
71,6,566,37.0
72,6,570,64.0
73,7,68,34.0
74,7,92,75.0
75,7,189,29.0
76,7,211,36.0
77,7,233,63.0
78,7,261,65.0
79,7,337,69.0
80,7,374,30.0
81,7,388,57.0
82,7,450,62.0
83,7,520,47.0
84,7,549,44.0
85,8,16,70.0
86,8,30,75.0
87,8,45,51.0
88,8,59,36.0
89,8,133,65.0
90,8,202,64.0
91,8,267,36.0
92,8,292,41.0
93,8,323,33.0
94,8,378,68.0
95,8,484,40.0
96,8,504,73.0
97,8,558,55.0
98,8,559,46.0
99,9,176,70.0
100,9,227,56.0
101,9,313,51.0
102,9,341,74.0
103,9,392,39.0
104,9,433,69.0
105,9,436,48.0
106,9,439,26.0
107,9,555,48.0
108,10,90,73.0
109,10,126,76.0
110,10,166,31.0
111,10,174,58.0
112,10,230,60.0
113,10,278,43.0
114,10,360,76.0
115,10,377,75.0
116,10,473,54.0
117,10,511,65.0
118,10,512,77.0
119,11,36,34.0
120,11,262,35.0
121,11,430,71.0
122,11,518,28.0
123,11,599,33.0
124,12,39,66.0
125,12,60,53.0
126,12,85,55.0
127,12,88,63.0
128,12,111,63.0
129,12,232,76.0
130,12,307,49.0
131,12,363,74.0
132,12,384,65.0
133,13,55,45.0
134,13,63,42.0
135,13,142,70.0
136,13,146,34.0
137,13,154,34.0
138,13,178,53.0
139,13,199,31.0
140,13,236,47.0
141,13,242,72.0
142,13,348,65.0
143,13,385,67.0
144,13,468,66.0
145,13,488,61.0
146,13,503,31.0
147,13,575,76.0
148,13,579,38.0
149,13,584,31.0
150,14,35,31.0
151,14,51,40.0
152,14,145,33.0
153,14,195,68.0
154,14,214,46.0
155,14,231,75.0
156,14,237,42.0
157,14,361,42.0
158,14,560,54.0
159,14,569,67.0
160,15,168,34.0
161,15,212,43.0
162,15,240,32.0
163,15,587,76.0
164,16,8,74.0
165,16,23,57.0
166,16,45,54.0
167,16,202,38.0
168,16,267,68.0
169,16,323,49.0
170,16,366,46.0
171,16,422,70.0
172,16,484,69.0
173,16,504,70.0
174,16,582,28.0
175,17,69,65.0
176,17,211,46.0
177,17,263,53.0
178,17,302,76.0
179,17,345,50.0
180,17,374,37.0
181,17,401,71.0
182,17,507,30.0
183,18,6,74.0
184,18,62,66.0
185,18,132,58.0
186,18,162,71.0
187,18,191,33.0
188,18,205,74.0
189,18,255,36.0
190,18,289,54.0
191,18,297,78.0
192,18,328,74.0
193,18,381,53.0
194,18,406,55.0
195,18,499,70.0
196,18,556,74.0
197,18,565,29.0
198,18,566,55.0
199,18,595,73.0
200,19,74,53.0
201,19,112,54.0
202,19,113,46.0
203,19,165,30.0
204,19,171,44.0
205,19,219,70.0
206,19,253,59.0
207,19,272,78.0
208,19,369,67.0
209,19,383,49.0
