commodity,quantity
1,1
2,2
3,7
4,4
5,3
6,9
7,2
8,1
9,10
10,7
11,8
12,10
13,4
14,6
15,10
16,8
17,10
18,9
19,9
20,6
21,3
22,10
23,5
24,8
25,8
26,2
27,10
28,3
29,9
30,1
31,5
32,2
33,3
34,3
35,5
36,9
37,10
38,9
39,6
40,3
41,5
42,8
43,5
44,3
45,7
46,4
47,2
48,3
49,10
50,3
51,3
52,1
53,4
54,2
55,10
56,9
57,9
58,3
59,10
60,9
61,5
62,3
63,2
64,1
65,8
66,8
67,2
68,6
69,10
70,10
71,10
72,9
73,9
74,9
75,3
76,9
77,5
78,9
79,3
80,4
81,9
82,4
83,2
84,6
85,6
86,4
87,9
88,3
89,4
90,9
91,5
92,6
93,4
94,10
95,10
96,8
97,1
98,2
99,1
100,5
101,3
102,8
103,8
104,6
105,8
106,1
107,1
108,5
109,1
110,3
111,7
112,10
113,9
114,6
115,3
116,9
117,7
118,9
119,2
120,7
121,6
122,3
123,6
124,5
125,8
126,2
127,8
128,1
129,5
130,1
131,5
132,6
133,4
134,10
135,8
136,7
137,1
138,9
139,8
140,4
141,9
142,8
143,9
144,4
145,2
146,5
147,1
148,4
149,1
150,2
151,9
152,2
153,4
154,6
155,8
156,6
157,6
158,8
159,3
160,3
161,10
162,4
163,3
164,2
165,4
166,3
167,1
168,3
169,6
170,4
171,1
172,10
173,7
174,6
175,2
176,4
177,10
178,1
179,1
180,10
181,10
182,7
183,4
184,8
185,6
186,2
187,4
188,10
189,4
190,7
191,8
192,4
193,1
194,10
195,6
196,10
197,1
198,1
199,3
200,7
201,1
202,1
203,8
204,6
205,2
206,2
207,7
208,10
209,8
210,9
211,10
212,7
213,8
214,4
215,3
216,3
217,3
218,6
219,9
220,7
221,8
222,2
223,8
224,8
225,7
226,2
227,7
228,9
229,8
230,7
231,2
232,7
233,2
234,1
235,8
236,1
237,2
238,9
239,5
240,9
241,2
242,8
243,1
244,6
245,2
246,5
247,1
248,6
249,1
250,9
251,4
252,9
253,3
254,2
255,7
256,10
257,7
258,7
259,10
260,10
261,4
262,10
263,1
264,9
265,5
266,3
267,3
268,8
269,7
270,4
271,10
272,5
273,4
274,8
275,4
276,2
277,10
278,7
279,8
280,1
281,4
282,5
283,7
284,10
285,7
286,8
287,3
288,8
289,2
290,9
291,6
292,10
293,3
294,4
295,4
296,5
297,4
298,1
299,3
300,10
301,7
302,3
303,5
304,5
305,4
306,7
307,5
308,2
309,2
310,9
311,2
312,2
313,3
314,7
315,1
316,7
317,3
318,9
319,4
320,7
321,9
322,10
323,3
324,8
325,9
326,9
327,1
328,6
329,1
330,3
331,2
332,7
333,7
334,9
335,7
336,2
337,5
338,6
339,3
340,5
341,1
342,2
343,3
344,10
345,10
346,5
347,6
348,7
349,9
350,7
351,5
352,10
353,5
354,6
355,3
356,8
357,6
358,8
359,5
360,1
361,6
362,8
363,6
364,5
365,5
366,4
367,1
368,9
369,3
370,10
371,5
372,4
373,3
374,8
375,10
376,1
377,4
378,8
379,4
380,6
381,2
382,2
383,9
384,5
385,2
386,2
387,7
388,5
389,5
390,2
391,7
392,7
393,7
394,1
395,6
396,1
397,8
398,10
399,8
400,9
