arc,originnode,destinationnode,capacity
1,1,3,12.0
2,1,28,22.0
3,1,89,23.0
4,1,94,16.0
5,1,110,13.0
6,1,123,21.0
7,1,129,23.0
8,1,151,15.0
9,1,247,26.0
10,1,253,13.0
11,1,380,28.0
12,1,431,24.0
13,1,481,22.0
14,2,4,20.0
15,2,187,24.0
16,2,234,26.0
17,2,278,31.0
18,2,289,20.0
19,2,306,17.0
20,2,379,22.0
21,2,402,14.0
22,2,403,35.0
23,2,442,15.0
24,2,457,22.0
25,2,475,21.0
26,2,503,24.0
27,2,505,15.0
28,2,527,34.0
29,2,577,24.0
30,3,1,26.0
31,3,12,24.0
32,3,26,28.0
33,3,28,22.0
34,3,89,21.0
35,3,94,18.0
36,3,100,32.0
37,3,110,15.0
38,3,123,23.0
39,3,129,28.0
40,3,151,33.0
41,3,247,17.0
42,3,253,30.0
43,3,380,20.0
44,3,431,23.0
45,3,444,34.0
46,3,453,15.0
47,3,472,26.0
48,3,481,29.0
49,4,2,15.0
50,4,187,25.0
51,4,234,15.0
52,4,278,22.0
53,4,289,21.0
54,4,306,25.0
55,4,379,13.0
56,4,402,23.0
57,4,403,34.0
58,4,405,15.0
59,4,418,23.0
60,4,442,33.0
61,4,457,22.0
62,4,475,25.0
63,4,503,29.0
64,4,505,28.0
65,4,518,13.0
66,4,527,16.0
67,4,577,24.0
68,5,40,32.0
69,5,42,20.0
70,5,60,24.0
71,5,73,30.0
72,5,108,20.0
73,5,133,27.0
74,5,216,28.0
75,5,242,16.0
76,5,256,29.0
77,5,261,29.0
78,5,292,22.0
79,5,375,25.0
80,5,405,14.0
81,5,416,30.0
82,5,443,23.0
83,5,446,28.0
84,5,456,12.0
85,5,483,33.0
86,5,491,34.0
87,5,513,27.0
88,5,525,32.0
89,5,566,32.0
90,5,570,16.0
91,5,575,17.0
92,6,39,16.0
93,6,81,12.0
94,6,93,17.0
95,6,118,16.0
96,6,182,12.0
97,6,203,12.0
98,6,237,27.0
99,6,249,24.0
100,6,277,23.0
101,6,322,14.0
102,6,325,12.0
103,6,329,28.0
104,6,336,16.0
105,6,350,17.0
106,6,386,23.0
107,6,412,17.0
108,6,506,30.0
109,6,583,16.0
110,7,17,26.0
111,7,91,16.0
112,7,158,12.0
113,7,165,15.0
114,7,195,28.0
115,7,220,18.0
116,7,225,12.0
117,7,246,19.0
118,7,264,34.0
119,7,352,27.0
120,7,425,12.0
121,7,452,14.0
122,7,455,24.0
123,7,528,33.0
124,7,540,29.0
125,7,564,28.0
126,7,584,30.0
127,7,594,27.0
128,7,597,35.0
129,8,15,14.0
130,8,16,12.0
131,8,116,19.0
132,8,128,15.0
133,8,154,15.0
134,8,164,28.0
135,8,197,32.0
136,8,201,20.0
137,8,248,31.0
138,8,324,25.0
139,8,326,30.0
140,8,336,31.0
