arc,originnode,destinationnode,capacity
1,1,30,62.0
2,1,46,43.0
3,1,48,61.0
4,1,54,62.0
5,1,63,53.0
6,1,70,70.0
7,1,73,36.0
8,1,75,64.0
9,1,88,56.0
10,1,96,66.0
11,1,126,29.0
12,1,137,51.0
13,1,159,34.0
14,1,191,84.0
15,1,192,55.0
16,2,5,77.0
17,2,51,43.0
18,2,77,53.0
19,2,99,42.0
20,2,130,60.0
21,2,155,52.0
22,2,157,78.0
23,2,168,51.0
24,2,173,49.0
25,2,178,84.0
26,2,182,77.0
27,3,5,36.0
28,3,8,72.0
29,3,11,38.0
30,3,25,74.0
31,3,29,71.0
32,3,36,74.0
33,3,37,67.0
34,3,57,83.0
35,3,79,28.0
36,3,80,61.0
37,3,87,37.0
38,3,130,35.0
39,3,131,39.0
40,3,141,57.0
41,3,148,66.0
42,3,151,29.0
43,3,166,44.0
44,3,182,44.0
45,3,186,65.0
46,3,195,35.0
47,4,10,63.0
48,4,14,77.0
49,4,20,52.0
50,4,41,64.0
51,4,49,47.0
52,4,72,50.0
53,4,98,38.0
54,4,102,78.0
55,4,105,47.0
56,4,134,78.0
57,4,136,57.0
58,4,185,77.0
59,4,200,67.0
60,5,2,44.0
61,5,3,44.0
62,5,25,72.0
63,5,36,51.0
64,5,57,83.0
65,5,80,29.0
66,5,87,83.0
67,5,99,51.0
68,5,130,47.0
69,5,131,64.0
70,5,148,79.0
71,5,157,52.0
72,5,166,62.0
73,5,168,53.0
74,5,182,74.0
75,6,39,67.0
76,6,102,75.0
77,6,106,35.0
78,6,114,50.0
79,6,138,47.0
80,6,177,53.0
81,7,27,31.0
82,7,33,70.0
83,7,61,67.0
84,7,67,28.0
85,7,74,83.0
86,7,83,61.0
87,7,89,54.0
88,7,101,51.0
89,7,120,60.0
90,7,183,29.0
91,7,197,58.0
92,8,3,45.0
93,8,11,71.0
94,8,24,41.0
95,8,28,56.0
96,8,29,45.0
97,8,32,35.0
98,8,37,68.0
99,8,57,73.0
100,8,80,80.0
101,8,87,67.0
102,8,131,58.0
103,8,141,48.0
104,8,151,42.0
105,8,162,36.0
106,8,174,40.0
107,8,186,60.0
108,9,10,50.0
109,9,20,73.0
110,9,26,39.0
111,9,40,71.0
112,9,62,62.0
113,9,65,52.0
114,9,69,73.0
115,9,82,75.0
116,9,118,77.0
117,9,127,75.0
118,9,185,84.0
119,10,4,48.0
120,10,9,62.0
121,10,20,36.0
122,10,60,77.0
123,10,62,43.0
124,10,65,52.0
125,10,98,66.0
126,10,127,38.0
127,10,185,74.0
128,10,200,59.0
129,11,3,46.0
130,11,8,58.0
131,11,28,69.0
132,11,29,48.0
133,11,32,40.0
134,11,37,78.0
135,11,57,68.0
136,11,80,55.0
137,11,103,43.0
138,11,131,49.0
139,11,141,59.0
140,11,151,40.0
141,11,174,51.0
142,11,186,30.0
143,11,195,36.0
144,12,26,68.0
145,12,34,60.0
146,12,40,46.0
147,12,44,40.0
148,12,46,83.0
149,12,48,59.0
150,12,52,49.0
151,12,54,71.0
152,12,75,42.0
153,12,82,56.0
154,12,91,58.0
155,12,100,80.0
156,12,126,48.0
157,12,147,46.0
158,12,150,70.0
159,12,156,53.0
160,12,171,71.0
161,12,184,84.0
162,12,191,75.0
163,12,196,45.0
164,13,81,51.0
165,13,135,75.0
166,13,143,84.0
167,13,179,41.0
168,14,4,82.0
169,14,15,78.0
170,14,27,45.0
171,14,31,81.0
172,14,41,45.0
173,14,49,84.0
174,14,61,50.0
175,14,67,56.0
176,14,72,58.0
177,14,105,51.0
178,14,124,69.0
179,14,136,63.0
180,14,154,40.0
181,14,197,39.0
182,15,14,84.0
183,15,27,48.0
184,15,31,33.0
185,15,41,52.0
186,15,49,57.0
187,15,61,64.0
188,15,67,71.0
189,15,72,78.0
190,15,124,39.0
191,15,136,85.0
192,15,154,51.0
193,15,197,74.0
194,16,38,57.0
195,16,50,66.0
196,16,58,44.0
197,16,92,73.0
198,16,115,84.0
199,16,117,41.0
200,16,139,65.0
201,16,165,64.0
202,16,169,68.0
203,16,172,53.0
204,17,24,42.0
205,17,35,30.0
206,17,38,79.0
207,17,50,32.0
208,17,59,56.0
209,17,97,48.0
210,17,117,83.0
211,17,121,37.0
212,17,139,33.0
213,17,162,32.0
214,17,165,66.0
215,17,169,31.0
216,17,187,46.0
217,18,102,75.0
218,18,105,48.0
219,18,114,70.0
220,18,134,59.0
221,18,200,30.0
222,19,53,30.0
223,19,104,71.0
224,19,112,50.0
225,19,122,68.0
226,19,170,35.0
227,19,180,30.0
228,19,194,33.0
229,19,199,77.0
230,20,4,36.0
231,20,9,28.0
232,20,10,55.0
233,20,39,73.0
234,20,62,72.0
235,20,65,64.0
236,20,69,53.0
237,20,82,73.0
238,20,102,80.0
239,20,185,38.0
240,20,200,47.0
241,21,23,82.0
242,21,42,30.0
243,21,45,29.0
244,21,111,84.0
245,21,152,62.0
246,21,161,82.0
247,21,164,42.0
248,21,190,34.0
249,22,26,75.0
250,22,34,61.0
251,22,52,33.0
252,22,62,75.0
253,22,69,75.0
254,22,82,44.0
255,22,118,57.0
256,22,142,48.0
257,22,150,49.0
258,22,171,59.0
259,22,196,74.0
260,22,199,38.0
261,23,21,70.0
262,23,42,48.0
263,23,45,60.0
264,23,47,68.0
265,23,63,56.0
266,23,70,70.0
267,23,88,70.0
268,23,111,44.0
269,23,152,75.0
270,23,161,42.0
271,23,164,39.0
272,23,190,57.0
273,23,192,30.0
274,24,8,65.0
275,24,17,82.0
276,24,29,80.0
277,24,35,33.0
278,24,38,70.0
279,24,92,60.0
280,24,121,48.0
281,24,139,35.0
282,24,151,48.0
283,24,162,69.0
284,24,165,79.0
285,24,174,70.0
286,24,187,47.0
287,25,3,49.0
288,25,5,75.0
289,25,36,44.0
290,25,60,44.0
291,25,65,77.0
292,25,77,81.0
293,25,80,81.0
294,25,87,34.0
295,25,91,84.0
296,25,127,42.0
297,25,131,82.0
298,25,148,31.0
299,25,166,55.0
300,25,168,51.0
301,25,182,51.0
302,25,195,68.0
303,26,9,81.0
304,26,12,65.0
305,26,22,48.0
306,26,34,46.0
307,26,40,55.0
308,26,44,78.0
309,26,52,68.0
310,26,62,32.0
311,26,69,82.0
