arc,originnode,destinationnode,capacity
1,1,11,103.0
2,1,14,55.0
3,1,49,95.0
4,1,51,47.0
5,1,111,52.0
6,1,124,87.0
7,1,168,103.0
8,2,8,95.0
9,2,41,46.0
10,2,71,45.0
11,2,107,65.0
12,2,111,38.0
13,2,124,78.0
14,2,130,52.0
15,2,155,95.0
16,2,166,41.0
17,2,168,50.0
18,3,24,102.0
19,3,27,90.0
20,3,43,77.0
21,3,65,96.0
22,3,68,59.0
23,3,87,85.0
24,3,105,97.0
25,3,115,82.0
26,3,118,47.0
27,3,131,100.0
28,3,171,59.0
29,3,181,86.0
30,3,197,40.0
31,4,53,75.0
32,4,55,42.0
33,4,60,65.0
34,4,93,93.0
35,4,174,80.0
36,4,176,37.0
37,4,191,103.0
38,5,20,69.0
39,5,37,54.0
40,5,40,42.0
41,5,46,52.0
42,5,69,67.0
43,5,73,81.0
44,5,83,91.0
45,5,134,85.0
46,5,135,96.0
47,5,167,52.0
48,5,183,91.0
49,5,193,35.0
50,6,16,96.0
51,6,39,49.0
52,6,42,76.0
53,6,48,85.0
54,6,56,97.0
55,6,85,45.0
56,6,99,87.0
57,6,104,84.0
58,6,129,92.0
59,6,151,79.0
60,6,170,61.0
61,7,13,70.0
62,7,29,65.0
63,7,54,46.0
64,7,66,61.0
65,7,101,99.0
66,7,108,73.0
67,7,143,40.0
68,7,175,79.0
69,7,190,43.0
70,7,192,71.0
71,8,2,38.0
72,8,15,79.0
73,8,41,54.0
74,8,71,100.0
75,8,74,39.0
76,8,88,45.0
77,8,107,41.0
78,8,130,54.0
79,8,155,69.0
80,8,168,48.0
81,9,24,45.0
82,9,36,54.0
83,9,115,88.0
84,9,118,46.0
85,9,119,55.0
86,9,125,38.0
87,9,128,48.0
88,9,136,86.0
89,9,159,74.0
90,9,172,68.0
91,9,181,41.0
92,9,197,95.0
93,10,32,51.0
94,10,59,53.0
95,10,63,76.0
96,10,94,104.0
97,10,98,64.0
98,10,114,39.0
99,10,121,105.0
100,10,127,59.0
101,10,137,41.0
102,10,140,71.0
103,10,158,101.0
104,10,164,58.0
105,10,173,70.0
106,10,177,63.0
107,10,180,103.0
108,10,184,104.0
109,10,200,79.0
110,11,1,55.0
111,11,14,104.0
112,11,49,101.0
113,11,51,72.0
114,11,62,42.0
115,11,111,63.0
116,11,124,51.0
117,11,158,76.0
118,11,160,63.0
119,11,166,84.0
120,11,175,75.0
121,11,180,101.0
122,11,182,97.0
123,12,22,78.0
124,12,23,89.0
125,12,28,91.0
126,12,80,59.0
127,12,90,81.0
128,12,95,79.0
129,12,109,62.0
130,12,117,102.0
131,12,139,57.0
132,12,156,93.0
133,12,189,85.0
134,12,194,59.0
135,13,7,59.0
136,13,15,63.0
137,13,16,56.0
138,13,18,81.0
139,13,41,41.0
140,13,54,51.0
141,13,88,38.0
142,13,106,55.0
143,13,107,93.0
144,13,108,48.0
145,13,143,61.0
146,13,166,65.0
147,13,190,50.0
148,14,1,47.0
149,14,11,92.0
150,14,49,36.0
151,14,51,66.0
152,14,62,51.0
153,14,111,36.0
154,14,124,77.0
155,14,158,64.0
156,14,160,105.0
157,14,182,67.0
158,15,8,72.0
159,15,13,77.0
160,15,18,72.0
161,15,41,85.0
162,15,74,91.0
163,15,88,79.0
164,15,106,70.0
165,15,107,43.0
166,15,155,66.0
167,16,6,45.0
168,16,13,53.0
169,16,18,71.0
170,16,39,73.0
171,16,56,57.0
172,16,106,35.0
173,16,108,45.0
174,16,143,66.0
175,16,190,60.0
176,17,64,87.0
177,17,65,86.0
178,17,87,38.0
179,17,105,74.0
180,17,120,73.0
181,17,144,76.0
182,17,147,98.0
183,17,153,102.0
184,17,171,79.0
185,17,178,36.0
186,17,181,96.0
187,17,188,96.0
188,18,13,91.0
189,18,15,87.0
