commodity,quantity
1,5
2,4
3,3
4,3
5,4
6,8
7,2
8,8
9,8
10,8
11,5
12,6
13,10
14,4
15,10
16,8
17,6
18,9
19,2
20,7
21,3
22,8
23,6
24,7
25,2
26,8
27,3
28,5
29,6
30,5
31,10
32,7
33,10
34,8
35,4
36,6
37,8
38,10
39,4
40,4
41,8
42,4
43,7
44,6
45,5
46,6
47,10
48,10
49,4
50,2
51,9
52,9
53,8
54,3
55,10
56,7
57,6
58,2
59,7
60,6
61,4
62,10
63,1
64,3
65,10
66,6
67,10
68,4
69,10
70,7
71,10
72,2
73,8
74,5
75,1
76,2
77,2
78,4
79,6
80,5
81,10
82,1
83,6
84,3
85,8
86,4
87,1
88,8
89,9
90,7
91,3
92,9
93,9
94,10
95,10
96,10
97,8
98,9
99,6
100,4
101,8
102,7
103,10
104,1
105,9
106,9
107,10
108,3
109,7
110,5
111,10
112,7
113,4
114,4
115,1
116,4
117,1
118,10
119,7
120,10
121,8
122,5
123,7
124,5
125,8
126,4
127,5
128,1
129,3
130,10
131,8
132,4
133,3
134,4
135,2
136,3
137,6
138,6
139,4
140,2
141,10
142,1
143,5
144,5
145,9
146,1
147,8
148,7
149,4
150,8
151,5
152,1
153,7
154,8
155,1
156,2
157,5
158,8
159,5
160,4
161,10
162,10
163,6
164,10
165,7
166,10
167,5
168,2
169,4
170,2
171,5
172,1
173,10
174,3
175,2
176,3
177,3
178,7
179,3
180,10
181,10
182,8
183,4
184,1
185,6
186,7
187,10
188,7
189,1
190,9
191,10
192,2
193,9
194,9
195,9
196,10
197,3
198,8
199,10
200,10
201,8
202,6
203,3
204,1
205,4
206,2
207,6
208,7
209,3
210,2
211,9
212,5
213,6
214,6
215,9
216,4
217,10
218,3
219,1
220,5
221,3
222,9
223,4
224,7
225,7
226,8
227,10
228,1
229,6
230,5
231,6
232,3
233,1
234,10
235,4
236,8
237,9
238,5
239,3
240,8
241,5
242,3
243,8
244,4
245,5
246,8
247,1
248,2
249,8
250,4
251,10
252,4
253,2
254,7
255,1
256,9
257,7
258,9
259,10
260,2
261,1
262,4
263,3
264,2
265,6
266,8
267,9
268,5
269,4
270,5
271,3
272,2
273,7
274,3
275,8
276,2
277,3
278,2
279,7
280,4
281,4
282,9
283,2
284,8
285,10
286,10
287,4
288,3
289,3
290,10
291,8
292,8
293,7
294,10
295,3
296,5
297,9
298,9
299,1
300,3
301,1
302,4
303,3
304,3
305,9
306,1
307,4
308,4
309,1
310,6
311,10
312,10
313,2
314,4
315,4
316,7
317,1
318,3
319,8
320,10
321,10
322,10
323,9
324,9
325,8
326,9
327,8
328,7
329,1
330,10
331,10
332,7
333,6
334,7
335,8
336,2
337,6
338,10
339,9
340,7
341,1
342,10
343,8
344,3
345,4
346,4
347,2
348,10
349,9
350,1
351,6
352,9
353,1
354,7
355,1
356,7
357,5
358,3
359,6
360,9
361,8
362,2
363,7
364,4
365,4
366,10
367,1
368,3
369,7
370,5
371,9
372,3
373,8
374,3
375,9
376,10
377,2
378,9
379,2
380,5
381,10
382,7
383,10
384,4
385,5
386,2
387,3
388,10
389,4
390,7
391,10
392,9
393,2
394,4
395,9
396,9
397,6
398,4
399,2
400,10
