arc,originnode,destinationnode,capacity
1,1,41,58.0
2,1,75,61.0
3,1,97,75.0
4,1,109,41.0
5,1,122,40.0
6,1,152,38.0
7,1,155,38.0
8,1,156,49.0
9,1,173,27.0
10,1,178,39.0
11,1,187,63.0
12,2,48,33.0
13,2,80,67.0
14,2,120,37.0
15,2,125,55.0
16,2,129,74.0
17,2,139,37.0
18,2,190,50.0
19,3,14,61.0
20,3,24,35.0
21,3,40,44.0
22,3,53,58.0
23,3,62,53.0
24,3,69,44.0
25,3,98,73.0
26,3,103,30.0
27,3,110,40.0
28,3,118,44.0
29,3,150,30.0
30,4,9,61.0
31,4,14,64.0
32,4,30,39.0
33,4,32,40.0
34,4,43,28.0
35,4,50,75.0
36,4,70,30.0
37,4,98,50.0
38,4,100,65.0
39,4,118,43.0
40,4,126,58.0
41,4,142,51.0
42,4,196,40.0
43,5,67,39.0
44,5,77,74.0
45,5,111,67.0
46,5,121,70.0
47,5,132,33.0
48,5,158,35.0
49,5,164,46.0
50,5,171,45.0
51,6,7,31.0
52,6,10,72.0
53,6,16,67.0
54,6,27,38.0
55,6,51,49.0
56,6,57,29.0
57,6,63,66.0
58,6,68,58.0
59,6,80,33.0
60,6,108,52.0
61,6,116,46.0
62,6,139,74.0
63,6,159,41.0
64,6,175,46.0
65,6,189,44.0
66,6,195,70.0
67,7,6,72.0
68,7,10,33.0
69,7,16,74.0
70,7,27,59.0
71,7,34,68.0
72,7,51,64.0
73,7,60,40.0
74,7,63,66.0
75,7,68,37.0
76,7,80,66.0
77,7,96,32.0
78,7,125,72.0
79,7,129,45.0
80,7,137,35.0
81,7,139,66.0
82,7,175,60.0
83,7,190,26.0
84,8,85,49.0
85,8,86,43.0
86,8,87,53.0
87,8,133,72.0
88,8,134,48.0
89,8,135,40.0
90,8,146,67.0
91,8,147,29.0
92,8,148,52.0
93,8,157,50.0
94,8,168,33.0
95,9,4,75.0
96,9,14,46.0
97,9,30,33.0
98,9,32,34.0
99,9,43,35.0
100,9,50,50.0
101,9,70,62.0
102,9,76,38.0
103,9,79,74.0
104,9,98,63.0
105,9,100,42.0
106,9,118,37.0
107,9,130,53.0
108,9,142,31.0
109,9,160,62.0
110,9,163,43.0
111,9,196,69.0
112,10,6,68.0
113,10,7,60.0
114,10,16,28.0
115,10,27,69.0
116,10,51,65.0
117,10,57,46.0
118,10,63,73.0
119,10,68,65.0
120,10,96,44.0
121,10,108,55.0
122,10,116,41.0
123,10,139,37.0
124,10,189,37.0
125,11,20,59.0
126,11,43,36.0
127,11,100,34.0
128,11,107,62.0
129,11,167,53.0
130,11,174,36.0
131,11,176,30.0
132,11,186,65.0
133,12,21,30.0
134,12,25,45.0
135,12,61,68.0
136,12,72,35.0
137,12,78,41.0
138,12,82,38.0
139,12,94,39.0
140,12,101,48.0
141,12,102,26.0
142,12,114,71.0
143,12,140,59.0
144,12,141,44.0
145,12,193,74.0
146,12,194,67.0
147,13,18,67.0
148,13,34,63.0
149,13,68,54.0
150,13,106,57.0
151,13,120,34.0
152,13,159,57.0
153,13,175,26.0
154,14,3,46.0
155,14,4,46.0
156,14,9,47.0
157,14,25,30.0
158,14,32,48.0
159,14,50,74.0
160,14,53,66.0
161,14,62,69.0
162,14,69,37.0
163,14,70,64.0
164,14,78,49.0
165,14,98,51.0
166,14,110,46.0
167,14,118,64.0
168,14,126,68.0
169,14,131,72.0
170,14,142,62.0
171,14,169,61.0
172,15,64,71.0
173,15,66,53.0
174,15,76,67.0
175,15,90,57.0
176,15,92,69.0
177,15,99,62.0
178,15,107,48.0
179,15,160,27.0
180,15,163,51.0
181,15,183,27.0
182,15,186,65.0
183,16,6,73.0
184,16,7,58.0
185,16,10,27.0
186,16,27,61.0
187,16,51,69.0
188,16,55,62.0
189,16,60,58.0
190,16,63,50.0
191,16,68,40.0
192,16,72,74.0
193,16,80,66.0
194,16,96,41.0
195,16,116,55.0
196,16,123,56.0
197,16,125,37.0
198,16,129,44.0
199,16,137,34.0
200,16,139,62.0
201,16,161,39.0
202,16,190,55.0
203,17,150,51.0
204,17,188,46.0
205,18,13,58.0
206,18,34,48.0
207,18,106,45.0
208,18,120,34.0
209,18,159,51.0
210,18,175,64.0
211,19,33,66.0
212,19,86,52.0
213,19,104,69.0
214,19,109,26.0
215,19,122,38.0
216,19,124,59.0
217,19,133,59.0
218,19,134,31.0
219,19,135,54.0
220,19,148,60.0
221,19,157,46.0
222,19,173,39.0
223,19,179,26.0
224,19,200,33.0
225,20,11,39.0
226,20,43,73.0
227,20,100,26.0
228,20,107,30.0
229,20,163,49.0
230,20,167,48.0
231,20,174,31.0
232,20,176,71.0
233,20,186,72.0
234,21,12,50.0
235,21,25,59.0
236,21,40,34.0
237,21,47,47.0
238,21,61,49.0
239,21,65,39.0
240,21,82,44.0
241,21,101,46.0
242,21,110,76.0
243,21,140,74.0
244,21,141,34.0
245,21,145,29.0
246,21,169,34.0
247,21,193,55.0
248,21,194,63.0
249,22,31,61.0
250,22,33,46.0
251,22,39,46.0
252,22,45,72.0
253,22,59,71.0
254,22,95,40.0
255,22,112,45.0
256,22,119,46.0
257,22,124,34.0
258,22,127,74.0
259,22,144,71.0
260,22,181,66.0
261,22,198,71.0
262,23,36,42.0
263,23,56,30.0
264,23,58,52.0
265,23,74,45.0
266,23,83,45.0
267,23,85,30.0
268,23,128,35.0
269,23,143,48.0
270,23,149,71.0
271,23,151,48.0
272,23,152,71.0
273,23,156,51.0
274,23,166,69.0
275,23,199,29.0
276,24,3,26.0
277,24,49,67.0
278,24,62,44.0
279,24,111,69.0
280,24,121,50.0
281,24,132,68.0
282,24,150,38.0
283,24,171,52.0
284,25,12,39.0
285,25,14,54.0
286,25,21,40.0
287,25,32,34.0
288,25,78,46.0
289,25,82,66.0
290,25,101,74.0
291,25,110,36.0
292,25,114,73.0
293,25,117,53.0
294,25,126,34.0
295,25,131,57.0
296,25,165,70.0
297,25,169,67.0
298,25,176,70.0
299,26,39,58.0
300,26,66,73.0
301,26,71,53.0
302,26,127,70.0
303,26,144,69.0
304,26,177,71.0
305,26,180,39.0
306,26,183,32.0
307,26,198,61.0
308,27,6,69.0
309,27,7,63.0
310,27,10,64.0
311,27,16,57.0
312,27,34,52.0
313,27,51,75.0
314,27,55,56.0
315,27,60,64.0
316,27,68,59.0
317,27,80,60.0
318,27,96,67.0
319,27,125,54.0
320,27,129,69.0
321,27,137,27.0
322,27,139,44.0
323,27,175,68.0
324,27,190,30.0
325,28,40,33.0
326,28,47,55.0
327,28,54,61.0
328,28,65,44.0
329,28,103,56.0
330,28,145,52.0
331,28,172,39.0
332,28,188,28.0
333,29,36,36.0
334,29,41,57.0
335,29,74,27.0
336,29,84,45.0
337,29,91,47.0
338,29,93,49.0
339,29,105,68.0
340,29,152,70.0
341,29,155,41.0
342,29,182,61.0
343,29,184,49.0
344,29,187,75.0
345,29,191,45.0
346,30,4,44.0
347,30,9,27.0
348,30,46,30.0
349,30,50,28.0
350,30,70,34.0
351,30,76,50.0
352,30,79,30.0
353,30,89,53.0
354,30,100,62.0
355,30,130,48.0
356,30,142,55.0
357,30,160,45.0
358,30,163,35.0
359,30,196,70.0
360,31,22,32.0
361,31,33,46.0
362,31,59,53.0
363,31,95,28.0
364,31,112,73.0
365,31,119,55.0
366,31,124,55.0
367,31,133,51.0
368,31,134,66.0
369,31,135,28.0
370,31,168,71.0
371,31,181,45.0
372,31,200,75.0
373,32,4,66.0
374,32,9,60.0
375,32,14,30.0
376,32,25,68.0
377,32,43,66.0
378,32,50,50.0
379,32,70,26.0
380,32,78,48.0
381,32,98,37.0
382,32,117,61.0
383,32,118,60.0
384,32,126,59.0
385,32,131,42.0
386,32,142,29.0
387,32,165,59.0
388,32,169,28.0
389,33,19,70.0
390,33,22,38.0
391,33,31,69.0
392,33,37,56.0
393,33,45,76.0
394,33,59,59.0
395,33,95,51.0
396,33,112,38.0
397,33,119,53.0
398,33,124,37.0
399,33,133,61.0
400,33,134,27.0
401,33,135,33.0
402,33,168,48.0
403,33,181,55.0
404,33,200,53.0
405,34,7,35.0
406,34,13,74.0
407,34,18,68.0
408,34,27,66.0
409,34,68,45.0
410,34,80,68.0
411,34,120,74.0
412,34,125,75.0
413,34,139,27.0
414,34,159,71.0
415,34,175,51.0
416,34,190,58.0
417,35,52,30.0
418,35,84,66.0
419,35,91,37.0
420,35,93,76.0
421,35,128,73.0
422,35,154,33.0
423,35,191,56.0
424,35,192,50.0
425,36,23,28.0
426,36,29,46.0
427,36,41,26.0
428,36,52,49.0
429,36,56,61.0
430,36,58,40.0
431,36,73,39.0
432,36,74,56.0
433,36,83,68.0
434,36,84,33.0
435,36,93,75.0
436,36,128,33.0
437,36,149,73.0
438,36,152,64.0
439,36,155,48.0
440,36,166,55.0
441,36,182,63.0
442,36,199,57.0
443,37,33,48.0
444,37,38,62.0
445,37,45,74.0
446,37,64,36.0
447,37,99,40.0
448,37,107,30.0
449,37,167,47.0
450,37,186,41.0
451,37,200,39.0
452,38,37,34.0
453,38,45,45.0
454,38,64,45.0
455,38,66,34.0
456,38,99,32.0
457,38,107,53.0
458,38,112,70.0
459,38,144,42.0
460,38,167,61.0
461,38,183,33.0
462,38,186,73.0
463,39,22,60.0
464,39,26,63.0
465,39,71,37.0
466,39,112,54.0
467,39,127,70.0
468,39,144,34.0
469,39,177,52.0
470,39,180,56.0
471,39,183,30.0
472,39,198,70.0
473,40,3,54.0
474,40,21,29.0
475,40,28,27.0
476,40,47,43.0
477,40,53,70.0
478,40,69,43.0
479,40,103,64.0
480,40,110,72.0
481,40,145,37.0
482,40,150,69.0
483,40,172,26.0
484,40,188,56.0
485,40,193,52.0
486,41,1,49.0
487,41,29,76.0
488,41,36,26.0
489,41,58,59.0
490,41,74,72.0
491,41,84,43.0
492,41,91,64.0
493,41,93,28.0
494,41,105,70.0
495,41,152,65.0
496,41,155,71.0
497,41,182,28.0
498,41,187,45.0
499,41,191,59.0
500,41,199,49.0
501,42,46,38.0
502,42,67,28.0
503,42,77,33.0
504,42,79,32.0
505,42,89,37.0
506,42,130,67.0
507,42,158,71.0
508,42,164,70.0
509,42,185,60.0
510,42,196,46.0
511,43,4,26.0
512,43,9,66.0
513,43,11,59.0
514,43,20,34.0
