arc,originnode,destinationnode,capacity
1,1,9,85.0
2,1,139,64.0
3,1,150,82.0
4,1,313,69.0
5,1,320,92.0
6,1,334,66.0
7,1,349,65.0
8,1,419,102.0
9,1,471,45.0
10,2,139,108.0
11,2,181,49.0
12,2,247,47.0
13,2,277,104.0
14,2,287,68.0
15,2,334,50.0
16,2,349,41.0
17,2,350,86.0
18,2,471,63.0
19,2,474,71.0
20,2,510,78.0
21,2,537,92.0
22,2,548,76.0
23,2,573,87.0
24,3,9,52.0
25,3,36,47.0
26,3,150,61.0
27,3,222,112.0
28,3,394,40.0
29,3,487,44.0
30,4,132,71.0
31,4,204,86.0
32,4,228,99.0
33,4,343,110.0
34,4,347,76.0
35,4,357,68.0
36,4,365,55.0
37,4,376,111.0
38,4,482,103.0
39,4,553,67.0
40,4,583,48.0
41,5,35,96.0
42,5,82,42.0
43,5,83,60.0
44,5,121,53.0
45,5,138,91.0
46,5,183,43.0
47,5,230,104.0
48,5,317,87.0
49,5,423,51.0
50,5,462,40.0
51,5,494,102.0
52,5,509,46.0
53,5,582,44.0
54,5,598,91.0
55,6,111,76.0
56,6,120,78.0
57,6,146,62.0
58,6,217,48.0
59,6,249,105.0
60,6,251,89.0
61,6,315,76.0
62,6,378,93.0
63,6,436,70.0
64,6,486,49.0
65,6,558,109.0
66,7,58,48.0
67,7,64,103.0
68,7,140,61.0
69,7,266,69.0
70,7,328,68.0
71,7,369,42.0
72,7,466,104.0
73,7,503,97.0
74,7,549,63.0
75,7,570,105.0
76,8,217,53.0
77,8,251,40.0
78,8,308,95.0
79,8,558,51.0
80,8,568,69.0
81,8,585,75.0
82,9,1,112.0
83,9,3,108.0
84,9,139,102.0
85,9,150,43.0
86,9,313,70.0
87,9,320,71.0
88,9,334,59.0
89,9,367,68.0
90,9,419,42.0
91,9,471,109.0
92,9,487,83.0
93,10,27,60.0
94,10,163,90.0
95,10,175,56.0
96,10,232,92.0
97,10,237,79.0
98,10,372,113.0
99,10,453,104.0
100,10,465,47.0
101,11,56,60.0
102,11,74,83.0
103,11,117,68.0
104,11,171,84.0
105,11,196,113.0
106,11,234,58.0
107,11,270,54.0
108,11,276,109.0
109,11,286,59.0
110,11,297,58.0
111,11,316,85.0
112,11,325,98.0
113,11,361,95.0
114,11,437,75.0
115,11,454,85.0
116,11,468,40.0
117,11,469,102.0
118,11,594,63.0
119,12,65,49.0
120,12,216,65.0
121,12,299,56.0
122,12,352,72.0
123,12,395,114.0
124,12,473,102.0
125,12,495,70.0
126,12,497,44.0
127,12,578,113.0
128,12,588,91.0
129,13,59,108.0
130,13,90,67.0
131,13,136,89.0
132,13,141,57.0
133,13,302,44.0
134,13,305,95.0
135,14,103,55.0
136,14,382,91.0
137,14,407,73.0
138,14,412,109.0
139,14,500,80.0
140,15,42,94.0
141,15,167,107.0
142,15,240,51.0
143,15,262,81.0
144,15,267,108.0
145,15,321,106.0
146,15,363,112.0
147,15,371,41.0
148,15,433,63.0
149,15,457,90.0
150,15,477,72.0
151,15,523,106.0
152,15,525,38.0
153,15,590,89.0
154,16,55,87.0
155,16,159,114.0
156,16,400,53.0
157,16,430,40.0
158,16,476,45.0
159,16,514,53.0
160,16,542,73.0
161,17,102,94.0
162,17,182,107.0
163,17,309,49.0
164,17,370,78.0
165,17,484,40.0
166,17,570,109.0
167,17,589,48.0
168,17,600,109.0
169,18,31,75.0
170,18,43,50.0
171,18,109,90.0
172,18,173,93.0
173,18,188,64.0
174,18,213,68.0
175,18,389,67.0
176,18,390,45.0
177,18,406,105.0
178,18,460,104.0
179,18,543,64.0
180,18,544,75.0
181,19,41,49.0
182,19,61,57.0
183,19,137,56.0
184,19,223,89.0
185,19,259,43.0
186,19,341,80.0
187,19,386,92.0
188,19,410,47.0
189,19,427,64.0
190,19,432,110.0
